Nom;Region;Description;Localisation;DistFromParis;DistFromParisAutoroute;TimeFromParis;PéageFromParis;PéageFromParis2;MareeDesc;OrientationDesc;Long;Lat;Windfinder;Windguru;Meteo France;MeteoConsult;AlloSurf;Merteo;Temp eau;Maree;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Berck;;Ultra flat dans les baïnes qui sont présentent au dessous de 7m (marée).<br /> En Ouest on longe la mer dans les baïnes, c'est top, mais il ne faut pas être trop nombreux => l’hiver.<br /><br /> <b>Les vagues</b> peuvent être parfois désordonnées<br /><br /><b>Profondeur d'eau</b> : pieds assez loin<br />Grande plage de sable, sans contraintes vis à vis des marées.;A16 sortie 25 direction Berck<br />Esplanade Parmentier<br /><br /><b>Depuis Paris :</b>222 km / temps de parcours 2h25 / péage 12,4€ ;230;210;154;;;;;1;50;http://www.windfinder.com/forecast/berck-sur-mer;http://www.windguru.cz/fr/index.php?sc=1061&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/berck/62600;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-berck-1789-0.php;;http://www.merteo.fr/?spot=2162;http://www.meteocity.com/france/plage/berck_p62108/;http://maree.info/8;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Fort Mahon/Quend;;les zones en face des digues protégeant les 2 villes ( Quend / Fort Mahon) sont interdites au kite quelque soit la marée<br /> vagues désordonnées<br />- profondeur d'eau : pieds pas très loin<br />- plage de sable dur<br />- le spot se situe entre les 2 villes espacées d'environ 2 km<br /><br />Mer assez loin à marée basse.<br /><br />Mise à l'eau facile, attention, il y a des vagues, rarement du clapot.;Suivre Fort Mahon;223;191;154;;;;;1;50;http://www.windfinder.com/forecast/fort_mahon_plage;http://www.windguru.cz/fr/index.php?sc=559432&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/fort-mahon-plage/80120;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-fort-mahon-plage-4883-0.php;;http://www.merteo.fr/?spot=2400;http://www.meteocity.com/france/plage/le-crotoy_p80228/;http://maree.info/150;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Le Crotoy;;Pied partout, avec du sable.<br />Navigable à partir de 8m d'eau (marée : coef >50).;Prendre l’autoroute A16 sortie 23: Abbeville nord (direction A28).<br />Ensuite la direction Le Crotoy est bien panneautée.<br />A l’entrée du Crotoy suivez la direction plage qui vous mènera au remblai.<br />Prenez le jusqu’au bout et garez vous à coté d’un petit parc.;208;178;144;;;;;1;50;http://www.windfinder.com/forecast/le_crotoy;http://www.windguru.cz/fr/index.php?sc=162&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-crotoy/80550;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-le-crotoy-450-0.php;;http://www.merteo.fr/?spot=2134;http://www.meteocity.com/france/plage/le-crotoy_p80228/;http://maree.info/150;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Cayeux-sur-Mer;;La prévision de Windguru pour Cayeux est en général un peu en dessous du vent effectif<br />Il semblerait que ce soit un spot dangereux (voir lien ci-dessous).;Accès en venant de l'A16, direction Cayeux sur mer, sortir juste à l'entrée du bourg de la Mollière<br />traverser la Molilière jusqu’au dernier rond-point qui a une sortie sur un immense « parking » de galets.;215;178;151;;;;;1;50;http://www.windfinder.com/forecast/cayeux-sur-mer;http://www.windguru.cz/fr/index.php?sc=87904&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/cayeux-sur-mer/80410;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-cayeux-2808-0.php;;http://www.merteo.fr/?spot=2397;http://www.meteocity.com/france/plage/le-crotoy_p80228/;http://maree.info/150;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Saint Aubin;;Spot avec grande plage, sans risque.<br />seule spot de Haute-Normandie qui fonctionne par Est<br />Le vent y est un peu plus fort que dans le Calvados ou au Havre;On peut passer par Rouen puis direction Dieppe ou continuer sur l'A13 pour prendre le pont de Brotonne en passant par Yvetot et La Chappelle sur Dun (un peu plus long mais on évite le centre ville de Rouen). Dans tout les cas on arrive à Bourg le Dun, où  l’on prend la route de Saint-Aubin Sur Mer.<br />Dans Saint-Aubin prendre a gauche dans le début du village: route de Saussemare, 2km a droite (avant une montée) parking.;198;169;142;;;A <b>marée basse</b>, le spot est idéal: plage de sable et beaucoup de place pour décoller sa voile.<br /><br />En revanche, à <b>marée haute</b>, le décollage est plus laborieux, voir <b>dangereux</b>. Il y a tres peu de place pour décoller, et l'attérissage, comme le décollage se fiat proche des falaises. Réserver au sucidaire de trés bon niveau.<br /><br /><b>Marée descendante</b>: les vagues se font plus nettes.<br /><br /><b>Pas mal de courant</b>. il va de gauche à droite à la marée descendante et s'inverse à la remontante. C'est à dire par SO, choisis une marée descendante (ou une montante par NE).;Par <b>sud-ouest</b>, le vent est side-off-shore.<br /><br />Par <b>ouest-sud-ouest</b>, orientation idéale : side shore, mais il faut un peu s'écarter de la falaise (en allant vers Saint-Aubin centre).<br /><br />Par <b>Ouest</b>, très bien aussi, mais on est alors side on sohre pour surfer et side pour sauter (les vagues ne sont pas parallèles à la plage.<br /><br />Par <b>Nord-Ouest</b> vent on-shore vagues pouvant être assez grosses, avec de gros paquet (barre pas facile à passer (il faut de la toile, du volume et un niveau certan).<br /><br />Par <b>Nord-est</b> très sympa aussi et vent on shore avec des vagues qui peuvent monter dans la journée.<br /><br />Par <b>est</b> un des seul spots de haute Normandie à fonctionner : side off shore irrégulier.;0;49;http://www.windfinder.com/forecast/saint_aubin_sur_mer;http://www.windguru.cz/fr/index.php?vs=1&sc=371294;http://www.meteofrance.com/previsions-meteo-france/saint-aubin-sur-mer/76740;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-saint-aubin-sur-mer-185-1.php;;http://www.merteo.fr/?spot=2381;http://www.meteocity.com/france/plage/dieppe_p76217/;http://maree.info/14;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Veulettes-sur-Mer;;Attention à mi-marée on ne voit pas les plateaux rocheux.<br />A marée basse avec un coef moyen <80 une baie assez grande se forme avec peu d’eau et du sable en dessous.<br />C'est spot que j'aime beaucoup, malgrès la faible fréquentation, et surtout une plage de galet à marée haute.;Dans Veulette même;202;170;140;;;;;0;49;http://www.windfinder.com/forecast/veulettes_sur_mer;http://www.windguru.cz/fr/index.php?sc=48371&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/veulettes-sur-mer/76450;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-veulettes-1795-0.php;;http://www.merteo.fr/?spot=2142;http://www.meteocity.com/france/plage/dieppe_p76217/;http://maree.info/15;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Antifer;;L’arrivée sur le spot est somptueuse.<br /><br />Antifer est un des meilleurs spots lorsque le vent tourne Sud-Ouest avec pas mal de houle et un wind super régulier qui arrive sideshore.<br />La plupart du temps lorsque y'a pétole sur toute la région, Antifer offre 15/20 noeuds Sud Sud-Ouest grâce a l'accélération du vent dû aux falaises.<br /><br />Le spot fonctionne de Sud-Ouest à Nord-Ouest, les autres orientations sont super irrégulières et le vent fait n'importe quoi = dévente et galère a gogo. <br />Bon spots de vagues par Sud-Ouest pour les plus forts.<br /><br />Attention par Sud Ouest, la digue du terminal pétrolier attire les kiters et les planchistes comme un aimant.;Depuis Paris : A13 direction le Havre, puis au Havre, passer a St-Adresse puis direction Etretat. 20 Kms après le Havre, faites gaffe, il faut tourner a gauche direction St-Jouin. Puis direction le"Terminal Pétrolier"<br />Garez vous tout au bout du parking a  gauche du port;211;184;138;;;;;0;49;http://www.windfinder.com/forecast/antifer;http://www.windguru.cz/fr/index.php?sc=48376&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/la-poterie-cap-d-antifer/76280;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-antifer-312-0.php;;http://www.merteo.fr/?spot=2128;http://www.meteocity.com/france/plage/le-havre_p76351/;http://maree.info/17;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Spot Secret - Octeville;;On navigue par Nord-Est avec des tops conditions;Si vous venez du havre allez direction Etretat par la D940. Vous allez forcément tombez après 7 ou 8 Km sur le 1er giratoire d'Octeville (pas celui avec le cheval). Arrivez a celui-ci continuez vers Etretat et 400M après le giratoire (toujours sur la 940) il faut prendre la route qui part à gauche (en face se trouve un garage citroen). Continuez tout droit tout le temps (environ 1,5 Km) et vous arrivez alors sur un petit parking en haut de la falaise.<br />Déjà si vous étes arrivés là c'est pa si mal. Maintenant préparez-vous a descendre la valeuse. Vous devriez voir a gauche du parking l'entrée de la valeuse. Descendez-là et vous arrivez sur une plage avec plein de rochers et de galets (= mission impossible pour kiter). Il faut alors commencer à marcher vers la droite pour rejoindre le spot (environ 15 mn à tout casser). Le site est facile à repérer car il se cré une grande baie de sable d'environ 400 m. Normalement plus ou moins en face du spot il y'a une assez grosse cabane abandonnée.;201;186;126;;;;;0;49;http://www.windfinder.com/forecast/octeville;http://www.windguru.cz/fr/index.php?sc=71154&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/octeville-sur-mer/76930;;;;http://www.meteocity.com/france/plage/le-havre_p76351/;http://maree.info/17;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Sainte-Adresse;;Plage de gros galet.<br />La plage la plus polyvalente quant aux orientations de vent en Haute Normandi.<br />Bon thermique de Nord-Est au printemps et en été: de mai à juin c’est la direction du thermique qui peut monter à 20 nœuds alors qu’il y a un petit souffle le matin. Attention il coupe assez brutalement aux alentours de 17-18 heures.<br /><br />L’inconvénient du Nord-Est est que la zone sous le vent du cap est déventée. Il faut quelque fois marcher en s’éloignant du havre vers la plage appelée « le bout du monde » pour trouver une mise à l’eau ventée. Pour cela il faut prendre le chemin en contrebas de la promenade et passer la baraque du club de planchistes.<br /><br />A marée descendante, vent et courant pousse vers le Havre.<br /><br />Les courants de l’estuaire sont très importants. A marée descendante ils vous sortent de la baie.<br />Par Sud Sud-Est, préférez le spot de "la digue" nord. Lorsque ca souffle de Nord à Nord-Est il faut se débrouiller pour rejoindre la plage de Saint-Adresse (au cap de la Hève) sinon le vent est super irrégulier à cause de la colline situé à droite du spot.<br />Par Ouest, Ouest Sud-Ouest et Nord-Ouest dirigez vous au milieu de la plage à la hauteur de la résidence le Ponant..;Prendre l’A13 puis la bifurcation jusqu’au Havre. Ensuite suivre les indications pour aller vers la plage. La longer en allant vers le nord jusqu’à Saint-Adresse. On entre dans une petite cité avec voie à sens unique qu’il faut suivre jusqu’au fond.;198;185;135;;;;;0;49;http://www.windfinder.com/forecast/cap_de_la_heve;http://www.windguru.cz/fr/index.php?sc=48377&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/sainte-adresse/76310;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-sainte-adresse-189-0.php;;http://www.merteo.fr/?spot=2144;http://www.meteocity.com/france/plage/le-havre_p76351/;http://maree.info/19;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Houlgate;;Attention à marée haute peu de place + shorebreak<br />Zone réservée pour le Kite surf se situe après le poste de secours en prenant la direction de Dives-Sur-Mer (après le Temple).<br />Spot accessible en train …;Suivre Houlgate;211;187;137;;;;;0;49;http://www.windfinder.com/forecast/houlgate;http://www.windguru.cz/fr/index.php?sc=48381&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/houlgate/14510;http://marine.meteoconsult.fr/meteo-marine/meteo-abords-du-port/manche/previsions-meteo-houlgate-271-0.php;;http://www.merteo.fr/?spot=2121;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/24;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Cabourg;;L’endroit est parfaitement adapté à l’apprentissage du Kitesurf grâce à un plan d’eau avec peu de profondeur à marée basse (2h avant et 2h après) et protégé des vagues par de grand bancs de sable à marée basse.<br />Le spot fonctionne par vent de secteur Ouest, Nord-Ouest, Nord et Nord Est.<br /><br />C'est un spot qui dispose encore de la place, comparé aux spots qui l'entoure. Tout le coté EST de cette plage est une zone de pratique libre du kitesurf tout au long de l'année.;Suivre Cabourg;217;204;129;;;;;0;49;http://www.windfinder.com/forecast/dives_sur_mer;http://www.windguru.cz/fr/index.php?sc=48382&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/cabourg/14390;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-cabourg-323-0.php;;http://www.merteo.fr/?spot=2114;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/24;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Deauville;;Espace reservé au kite.<br />Spot accessible par train.<br />Ca peut tres vite etre le chantier, sauf a merré basse ou des baïnes se forment;Suivre Deauville;200;187;126;;;;;0;49;http://fr.windfinder.com/forecast/deauville;http://www.windguru.cz/fr/index.php?sc=48380&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/deauville/14800;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-deauville-1797-0.php;;http://www.merteo.fr/?spot=2117;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/23;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Merville-Franceville-Plage;;Le spot de Franceville fonctionne essentiellement par brise marine qui vient du nord-est et se lève l'après midi. Mais il fonctionne également trés bien par NW et W, qui peut lever de grosses vagues. Les vents de sud ouest rendent le spot principal Side off, mais permet de surfer parfois de trés longue gauche jamais trés grosses mais trés propres. Enfin tous les secteurs de vent du SE au SW sont navigable dans l'estuaire avec encore de magnifiques flacs, pour être en sécurité. <br />Quand le vent rentre de Nord Est, il y a une sorte d'effet venturi qui accélère largement.;Arrivée dans Franceville il faut rejoindre le boulevard Wattier (qui longe la plage) et se diriger vers l'ouest (à gauche en regardant la mer) au bout de ce boulevard, il y a un rond point et une barrière en bois, ou l'on peut lire 'zone de kitesurf'.<br />Il est interdit de stationner, ni même de rentrer dans le chemin (même en décembre!), on se gare dans la rue (le matos ne craint rien dans les voitures, mais planquez portable et portefeuille). <br /><br />Ensuite vous prenez votre matos sur le dos et empruntez le chemin de terre jusqu'à la plage. Vous arriverez sur le spot (ouah, c'est immense!) ensuite il faudra choisir tout droit, à droite ou à gauche pour aller rider, c'est comme on veut selon l'orientation du vent et son niveau de pratique (attention entre le 1 juillet et le 31 aout la zone réservée au kite est à gauche, mais c'est bien balisé on peut pas se gourer).;223;204;139;;;;;0;49;http://www.windfinder.com/forecast/merville_franceville_plage;http://www.windguru.cz/fr/index.php?sc=549268&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/merville-franceville-plage/14810;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-merville-franceville-plage-466-0.php;;http://www.merteo.fr/?spot=2118;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/25;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Merville-Franceville Baïne;;Sur le spot de Franceville, il y a une sorte de baïne dans l'estuaire qui apparaît à marée haute (au dessus de 6m d'eau) : voir le plan. <br />Dans cette baïne, l'eau est super flat, il est possible de naviguer sous n'importe qu'elle orientation de vent.<br />Attention les vents de secteurs sud sont des vents qui viennent de terre donc très capricieux, les moins aguerris peuvent être parfois surpris.<br />Quand le vent rentre de Nord Est, il y a une sorte d'effet venturi qui l'accélère.<br /><br />En été la baïne est sur-peuplé (école de kite …), le spot devient quasi impraticable, ce qui rend l'ambiance assez désagréable.;Arrivée à Franceville il faut rester sur la D514 (Route de Cabourg) et se diriger vers l'ouest (à gauche en regardant la mer).<br />Il faut sortir de la ville, et faire 1 km, pour tourner à droite en suivant « Base Nautique de Franceville ».<br /> Continuer la petite route durant environ 1 km, et dans un tournant, vous aures en face de vous un parking. C'est ici qu'il faut se garer.<br /> La il faut aller Nord-Ouest, c'est à dire sur le bunker.Puis continuer Nord Ouest.<br />Si vous êtes arrivé à l'ocean, c'est que vous n'êtes pas allé assez vers l'Ouest. Pas grave longé la plage à l'Ouest (Gauche face à la mer). Vous allez rapidement tomber dessus.;224;204;139;;;;;0;49;http://www.windfinder.com/forecast/merville_franceville_plage;http://www.windguru.cz/fr/index.php?sc=549268&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/merville-franceville-plage/14810;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-merville-franceville-plage-466-0.php;;http://www.merteo.fr/?spot=2118;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/25;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Ouistreham;;Les vents de nords sont les meilleurs souvent additionnés à une brise thermique.;De Caen prendre la 4 voie direction Ouistreham car ferry suivre cette indication puis casino ou vous trouverez un parking.<br />Le parking est à coté de la plage.;233;205;150;;;;;0;49;http://www.windfinder.com/forecast/ouistreham;http://www.windguru.cz/fr/index.php?sc=163&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/ouistreham/14150;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-ouistreham-471-0.php;;http://www.merteo.fr/?spot=2126;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/25;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Almanarre - Madrague;;Spot de sable.;De Hyeres prendre diréction Giens par la route du sel. Zone de kite  indiqué.;860;851;490;;;;;0;49;http://www.windfinder.com/forecast/hyeres_almanarre;http://www.windguru.cz/fr/index.php?sc=14&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/hyeres/83400;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-almanarre-5391-0.php;;http://www.merteo.fr/?spot=1223;http://www.meteocity.com/france/hyeres_v83069/;;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Almanarre - Bergerie;;En théorie, dans ces conditions, il faut aller sur la plage des salins…<br />Interdit durant l'été.;Entre Hyeres et Giens.;860;851;490;;;;Lorsque le vent est d'Est : Interdit durant l'été.;6;43;http://www.windfinder.com/forecast/hyeres_almanarre;http://www.windguru.cz/fr/index.php?sc=14&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/hyeres/83400;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-almanarre-5391-0.php;;http://www.merteo.fr/?spot=1223;http://www.meteocity.com/france/hyeres_v83069/;;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Almanarre - Salins;;Spot officiel de l'Alamanarre par vent d'Est.<br /><br />En revanche, c'est un peu excentré, et le parking est à 50m …;Après l'aeroport de Hyeres, en ayant la mer à votre droite, il faut traverser le petit village et son port, pour prendre le 1er parking à droite.;860;851;490;;;;Spot officiel de l'Almanarre en Est.;6;43;http://www.windfinder.com/forecast/hyeres_almanarre;http://www.windguru.cz/fr/index.php?sc=14&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/hyeres/83400;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-almanarre-5391-0.php;;http://www.merteo.fr/?spot=1223;http://www.meteocity.com/france/hyeres_v83069/;;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
