Nom;CodeSpot;Region;CodeRegion;Description;Localisation;DistFromParis;DistFromParisAutoroute;TimeFromParis;PéageFromParis;PéageFromParis2;MareeDesc;OrientationDesc;IsFoil;FoilDesc;WaveDesc;IsContraintEte;ContraintEte;Long;Lat;Windfinder;Windguru;Meteo France;MeteoConsult;AlloSurf;Merteo;Temp eau;Webcam;Balise;Maree;top;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL1;Titre1;Commentaire1;URL2;Titre2;Commentaire2;URL3;Titre3;Commentaire3;URL4;Titre4;Commentaire4
Wissant ;wis;Pas de calais;pdc;Effet venturi par sud-ouest.<br />plage de sable.<br />Vagues présentes par sud-ouest<br />Super en Sud-Ouest et en Nord Est <br />Inconvénients<br /><ul><li>Courants</li><li>Fréquenté avec peu de places de parking</li>Très clapoteux et technique par vent fort</li><li>La mer est loin à marée basse.</li></ul>.<br />Par nord-est, c’est le plus souvent freeride ou slalom. Le vent n’y est pas accéléré par le cap comme par sud-ouest. On bénéficie d’un petit thermique en été mais ça reste assez léger. Par nord-est, des conditions plus light que prévues par la météo.<br /><br /><b>Attention à la marée descendante</b> où le courant est dans le même sens que le vent. On est toujours obligé de caper pour ne pas avoir à remonter la plage à pied.<br />Quand le vent est fort, ca cartonne vraiment, les vagues sont imposantes et la barre devient vite très compliquée à passer. Sans parler du courant, qui atteint des vitesses record !;Prenez la sortie Wissant sur l’autoroute A16 entre Boulogne et Calais. Deux itinéraires sont possibles selon votre lieu de départ : A1 vers Calais ou A16 vers Boulogne. Après la sortie c’est fléché et il faut 10 minutes pour rejoindre la plage une fois sortie de l’autoroute.<br />Dès que l’on arrive en vue du remblai de la plage, il faut prendre à droite une rue réservée aux riverains pour arriver sur un parking.;280;263;165;;;;;;;;;;1.657;50.888;http://www.windfinder.com/forecast/wissant;http://www.windguru.cz/fr/index.php?sc=110&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/wissant/62179;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-wissant-298-0.php;;http://www.merteo.fr/?spot=2157;http://www.meteocity.com/france/plage/wissant_p62899/;;;http://maree.info/6;;0.0->8.0;8.0->10.0;;OK;top;top;OK;KO;KO;KO;KO;KO;top;top;top;OK;OK;OK;OK;http://www.w-idf.fr/pages/PageSpot.php?spotId=4;Titre 1;Commentaire 2;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&sid=cb5eec8969ab74cc2de6e4f27369a8b0&spot_id=33&vec=nnnnnnnnnonnnnnn;Titre 3;Commentaire 3;https://intranet.ffvl.fr/sites_pratique/voir/2210;Titre 4;Commentaire 4;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1168-wissant.html;Titre 5;Commentaire 5
Wimereux;wim;Pas de calais;pdc;Il n'y pas de de plage à marée haute. <br />Attention aussi aux zones Rocheuses au sud (fort de Croix) et au nord de la Plage.<br />Attention plage interdite au kitesurf en pleine saison (Juillet-Aoùt).;En arrivant par l'autoroute A16 sortir à Wimereux sud et à l'entrée de la ville, suivre les indications "Centre Régional de voile", "Digue de mer". Possibilités de se garer sur des places de parking face à la mer ou à proximité du club nautique. ;265;252;167;;;;;;;;;;1.6052;50.7654;http://www.windfinder.com/forecast/wimereux;http://www.windguru.cz/fr/index.php?sc=48354&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/wimereux/62930;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-wimereux-4-0.php;;http://www.merteo.fr/?spot=2153;http://www.meteocity.com/france/plage/wissant_p62899/;;;http://maree.info/7;;0.0->6.0;6.0->7.5;7.5->10.0;warn;warn;warn;KO;KO;KO;KO;warn;top;top;top;OK;OK;OK;OK;OK;https://intranet.ffvl.fr/sites_pratique/voir/2209;Titre 2;Commentaire 3;http://www.wimereux.biz/bigwebcam.htm;Titre 4;Commentaire 4;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1170-wimereux.html;Titre 5;Commentaire 5;;;
Boulogne sur mer;bsm;Pas de calais;pdc;Par vent de SO le vent vient du port = raffaleux, mais le spot est protégé par un grand brise-lame, le plan d'eau est plat. <br />Plage de sable.<br />Lieu de repli quand les conditions sont trop difficiles;Prendre l’A16 et quitter l’autoroute à la sortie 32 : Boulogne-Nord, Wimereux-Sud, Nausicaa.<br /> Suivre les indications Nausicaa et Boulogne et vous arriverez en vue de la rade.<br /> La plage est juste avant le centre Nausicaa.;265;252;163;;;;;;;;;;1.594;50.7307;http://www.windfinder.com/forecast/boulogne;http://www.windguru.cz/fr/index.php?sc=108996&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/boulogne-sur-mer/62200;http://marine.meteoconsult.fr/meteo-marine/meteo-abords-du-port/manche/previsions-meteo-boulogne-sur-mer-287-0.php;;http://www.merteo.fr/?spot=2165;http://www.meteocity.com/france/plage/wissant_p62899/;;;http://maree.info/7;;0.0->10.0;;;OK;warn;KO;KO;KO;KO;KO;warn;OK;OK;top;top;OK;OK;OK;OK;http://www.w-idf.fr/pages/PageSpot.php?spotId=7;Titre 3;Commentaire 4;;;;;;;;;
Le portel;por;Pas de calais;pdc;Par vent de nord et nord-est le spot est relativement plat et donc conseillé pour les débutants, en revanche lors d'un secteur sud-ouest, de force 6 ou plus la mer devient particulièrement mêler à cause d'une digue, cependant cette zone est encore praticable mais il est préférable d'être un pratiquant autonome !;Voisin de Boulogne-sur-mer;261;235;172;;;;;;;;;;1.5816;50.7121;http://www.windfinder.com/forecast/le_portel;http://www.windguru.cz/fr/index.php?sc=109010&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-portel/62480;http://marine.meteoconsult.fr/meteo-marine/meteo-plage/bassin-par-defaut/previsions-meteo-plage-du-portel-691-0.php;;http://www.merteo.fr/?spot=2411;http://www.meteocity.com/france/plage/berck_p62108/;;;http://maree.info/7;;0.0->10.0;;;top;OK;top;warn;KO;KO;KO;warn;warn;warn;OK;OK;OK;OK;OK;OK;https://intranet.ffvl.fr/sites_pratique/voir/13162;Titre 4;Commentaire 5;;;;;;;;;
Touquet/La baie de la Canche ;tou;Pas de calais;pdc;La baie de la canche située au Touquet est un pur spot de vitesse.<br />La baie se remplit à marée haute tout en étant protégée des vagues par un banc de sable.<br /><br />N’allez pas trop loin vers l’embouchure. spécialement par marée descendante. A cet endroit les courant et les tourbillons sont violents.<br /><br />Toute orientation de vent mais souvent irrégulier de Nord a Est pratique a marée haute;Prendre l’autoroute A16 sortie Le Touquet.<br />Une fois arrivé vers le Touquet dirigez-vous vers le yachting club.<br />A gauche de l’entrée du club se trouve un parking. Entrez dans le parking et prenez la petite route au fond à droite. Elle longe la crête sur 200 mètres puis oblique vers le Touquet à nouveau.<br /><br />Garez vous à proximité du chemin qui descend vers la crique.;241;222;160;;;;;;;;;;1.58701;50.5404;http://www.windfinder.com/forecast/le_touquet_paris_plage;http://www.windguru.cz/fr/index.php?sc=48359&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-touquet-paris-plage/62520;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-le-touquet-1788-0.php;;http://www.merteo.fr/?spot=2175;http://www.meteocity.com/france/plage/berck_p62108/;;;http://maree.info/8;;5.0->10.0;4.0->5.0;0.0->4.0;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;http://www.w-idf.fr/pages/PageSpot.php?spotId=6;Titre 5;Commentaire 6;https://intranet.ffvl.fr/sites_pratique/voir/2176;Titre 7;Commentaire 7;;;;;;
Le Touquet base sud;tob;Pas de calais;pdc;La zone de décollage se situe à gauche du chenal lorsqu'on regarde la mer au niveau de la descente pour bateaux et char à voileGrande plage de sable fin réduite lors de grandes marées.<br />Zone de navigation réduite en période estivale ( zone de bain );Autoroute A 16 sortie Etaples Le Touquet Le touquet bl Pouget base nautique sud.<br />Stationnement sur parking payant et gratuit.<br /><br />L'accés à la base en voiture est interdit.<br />Descendre depuis le parking à la plage par des escaliers;241;222;160;;;;;;;;;;1.57705;50.5171;http://www.windfinder.com/forecast/le_touquet_paris_plage;http://www.windguru.cz/fr/index.php?sc=48359&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-touquet-paris-plage/62520;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-le-touquet-1788-0.php;;http://www.merteo.fr/?spot=2175;http://www.meteocity.com/france/plage/berck_p62108/;;;http://maree.info/8;;0.0->10.0;;;OK;warn;KO;KO;KO;KO;KO;warn;OK;OK;top;top;top;top;top;OK;https://intranet.ffvl.fr/sites_pratique/voir/2175;Titre 6;Commentaire 7;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1171-le-touquet.html;Titre 8;Commentaire 8;;;;;;
Berck;ber;Pas de calais;pdc;Ultra flat dans les baïnes qui sont présentent au dessous de 7m (marée).<br /> En Ouest on longe la mer dans les baïnes, c'est top, mais il ne faut pas être trop nombreux => l’hiver.<br /><br /> <b>Les vagues</b> peuvent être parfois désordonnées<br /><br /><b>Profondeur d'eau</b> : pieds assez loin<br />Grande plage de sable, sans contraintes vis à vis des marées.;A16 sortie 25 direction Berck<br />Esplanade Parmentier<br /><br /><b>Depuis Paris :</b>222 km / temps de parcours 2h25 / péage 12,4€ ;230;210;154;;;;;;;;;;1.56233;50.4118;http://www.windfinder.com/forecast/berck-sur-mer;http://www.windguru.cz/fr/index.php?sc=1061&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/berck/62600;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-berck-1789-0.php;;http://www.merteo.fr/?spot=2162;http://www.meteocity.com/france/plage/berck_p62108/;;;http://maree.info/8;;0.0->10.0;;;OK;warn;KO;KO;KO;KO;KO;warn;OK;OK;top;OK;OK;OK;OK;OK;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=5&vec=nnnnnnnnnonnnnnn;Titre 7;Commentaire 8;https://intranet.ffvl.fr/sites_pratique/voir/2260;Titre 9;Commentaire 9;;;;;;
Fort Mahon/Quend;fom;Somme;som;les zones en face des digues protégeant les 2 villes ( Quend / Fort Mahon) sont interdites au kite quelque soit la marée<br /> vagues désordonnées<br />- profondeur d'eau : pieds pas très loin<br />- plage de sable dur<br />- le spot se situe entre les 2 villes espacées d'environ 2 km<br /><br />Mer assez loin à marée basse.<br /><br />Mise à l'eau facile, attention, il y a des vagues, rarement du clapot.;Suivre Fort Mahon;223;191;154;;;;;;;;;;1.54889;50.3436;http://www.windfinder.com/forecast/fort_mahon_plage;http://www.windguru.cz/fr/index.php?sc=559432&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/fort-mahon-plage/80120;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-fort-mahon-plage-4883-0.php;;http://www.merteo.fr/?spot=2400;http://www.meteocity.com/france/plage/le-crotoy_p80228/;;;http://maree.info/150;;0.0->10.0;;;OK;OK;KO;KO;KO;KO;KO;OK;OK;OK;top;top;top;top;top;top;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=13&vec=nnnnnnnnnonnnnnn;Titre 8;Commentaire 9;https://intranet.ffvl.fr/sites_pratique/voir/2215;Titre 10;Commentaire 10;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1190-nord-pdc-fort-mahon.html;Titre 11;Commentaire 11;;;
Le Crotoy;cro;Somme;som;Pied partout, avec du sable.<br />Navigable à partir de 8m d'eau (marée : coef >50).;Prendre l’autoroute A16 sortie 23: Abbeville nord (direction A28).<br />Ensuite la direction Le Crotoy est bien panneautée.<br />A l’entrée du Crotoy suivez la direction plage qui vous mènera au remblai.<br />Prenez le jusqu’au bout et garez vous à coté d’un petit parc.;208;178;144;;;;;;;;;;1.613;50.224;http://www.windfinder.com/forecast/le_crotoy;http://www.windguru.cz/fr/index.php?sc=162&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-crotoy/80550;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-le-crotoy-450-0.php;;http://www.merteo.fr/?spot=2134;http://www.meteocity.com/france/plage/le-crotoy_p80228/;;;http://maree.info/150;;6.0->10.0;;0.0->6.0;warn;KO;KO;KO;KO;KO;KO;warn;OK;OK;OK;OK;top;OK;OK;OK;http://www.w-idf.fr/pages/PageSpot.php?spotId=5;Titre 9;Commentaire 10;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=6&vec=nnnnnnnnnonnnnnn;Titre 11;Commentaire 11;https://intranet.ffvl.fr/sites_pratique/voir/2163;Titre 12;Commentaire 12;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1169-le-crotoy.html;Titre 13;Commentaire 13
Cayeux-sur-Mer;cay;Somme;som;La prévision de Windguru pour Cayeux est en général un peu en dessous du vent effectif<br />Il semblerait que ce soit un spot dangereux (voir lien ci-dessous).;Accès en venant de l'A16, direction Cayeux sur mer, sortir juste à l'entrée du bourg de la Mollière<br />traverser la Molilière jusqu’au dernier rond-point qui a une sortie sur un immense « parking » de galets.;215;178;151;;;;;;;;;;1.519096;50.205839;http://www.windfinder.com/forecast/cayeux-sur-mer;http://www.windguru.cz/fr/index.php?sc=87904&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/cayeux-sur-mer/80410;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-cayeux-2808-0.php;;http://www.merteo.fr/?spot=2397;http://www.meteocity.com/france/plage/le-crotoy_p80228/;;;http://maree.info/150;;0.0->10.0;;;OK;OK;OK;warn;KO;KO;KO;KO;KO;OK;top;top;top;top;top;OK;http://www.kitesurf-baiedesomme.fr/webcam;Titre 10;Commentaire 11; http://forum.flysurf.com/bar/cayeux-sur-mer-spot-de-kite-t41556-10.html;Spot dangereux ?;Forum sur la dangerosité de ce spot…;;;;;;
Saint Aubin;stau;Seine-Maritime;sem;Spot avec grande plage, sans risque.<br />seule spot de Haute-Normandie qui fonctionne par Est<br />Le vent y est un peu plus fort que dans le Calvados ou au Havre;On peut passer par Rouen puis direction Dieppe ou continuer sur l'A13 pour prendre le pont de Brotonne en passant par Yvetot et La Chappelle sur Dun (un peu plus long mais on évite le centre ville de Rouen). Dans tout les cas on arrive à Bourg le Dun, où  l’on prend la route de Saint-Aubin Sur Mer.<br />Dans Saint-Aubin prendre a gauche dans le début du village: route de Saussemare, 2km a droite (avant une montée) parking.;198;169;142;;;A <b>marée basse</b>, le spot est idéal: plage de sable et beaucoup de place pour décoller sa voile.<br /><br />En revanche, à <b>marée haute</b>, le décollage est plus laborieux, voir <b>dangereux</b>. Il y a tres peu de place pour décoller, et l'attérissage, comme le décollage se fiat proche des falaises. Réserver au sucidaire de trés bon niveau.<br /><br /><b>Marée descendante</b>: les vagues se font plus nettes.<br /><br /><b>Pas mal de courant</b>. il va de gauche à droite à la marée descendante et s'inverse à la remontante. C'est à dire par SO, choisis une marée descendante (ou une montante par NE).;Par <b>sud-ouest</b>, le vent est side-off-shore.<br /><br />Par <b>ouest-sud-ouest</b>, orientation idéale : side shore, mais il faut un peu s'écarter de la falaise (en allant vers Saint-Aubin centre).<br /><br />Par <b>Ouest</b>, très bien aussi, mais on est alors side on sohre pour surfer et side pour sauter (les vagues ne sont pas parallèles à la plage.<br /><br />Par <b>Nord-Ouest</b> vent on-shore vagues pouvant être assez grosses, avec de gros paquet (barre pas facile à passer (il faut de la toile, du volume et un niveau certan).<br /><br />Par <b>Nord-est</b> très sympa aussi et vent on shore avec des vagues qui peuvent monter dans la journée.<br /><br />Par <b>est</b> un des seul spots de haute Normandie à fonctionner : side off shore irrégulier.;;;;;;0.862;49.893;http://www.windfinder.com/forecast/saint_aubin_sur_mer;http://www.windguru.cz/fr/index.php?vs=1&sc=371294;http://www.meteofrance.com/previsions-meteo-france/saint-aubin-sur-mer/76740;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-saint-aubin-sur-mer-185-1.php;;http://www.merteo.fr/?spot=2381;http://www.meteocity.com/france/plage/dieppe_p76217/;;;http://maree.info/14;;0.0->7.0;7.0->10.0;;OK;OK;OK;OK;warn;warn;KO;KO;KO;KO;warn;OK;top;top;top;OK;http://www.w-idf.fr/pages/PageSpot.php?spotId=1;Balise de vent;Balise de vent de la FFVL, permettant d'avoir le vent et son orientation en direct…;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=4&vec=nnnnnnnnnonnnnnn;akif ;Site de l'AKIF (Association Kitesurf île de France) sur Saint Aubin. Page complet sur le spot et les conditions de navigation;https://intranet.ffvl.fr/sites_pratique/voir/2247;FFVL;Page de la FFVL (Fédération Française de Voile Libre) sur le spot de Saint Aubin. Pas beaucoup d'info (dernière mise à jour 2010).;;;
